reference ,created_time                ,updated_time                ,account_reference ,amount   ,settled_time
YETpxq7b  ,2024-10-04T14:07:21.179600Z ,2024-10-04T14:07:21.179600Z ,FXSs9CVf          ,1354997  ,2024-10-04T08:00:00Z
XqcGvHPg  ,2024-10-04T14:07:41.315073Z ,2024-10-04T14:07:41.315073Z ,Bs36Lr9f          ,-4516654 ,2024-10-04T08:00:00Z
fgLu7wHe  ,2024-10-04T14:08:15.814703Z ,2024-10-04T14:08:15.814703Z ,nNMBYWD3          ,20001    ,2024-10-04T08:00:00Z
yNTYPD28  ,2024-10-04T14:08:35.362085Z ,2024-10-04T14:08:35.362085Z ,yy7yR7mw          ,50000    ,2024-10-04T08:00:00Z
2FiYE6DH  ,2024-10-04T14:15:35.846615Z ,2024-10-04T14:15:35.846615Z ,BKugABq9          ,18548    ,2024-10-04T08:00:00Z
7SRHLejb  ,2024-10-04T14:16:14.881856Z ,2024-10-04T14:16:14.881856Z ,w9KXfqC6          ,475.5    ,2024-10-04T08:00:00Z
fpbzzbkK  ,2024-10-04T14:16:45.418170Z ,2024-10-04T14:16:45.418170Z ,W3Lz4U2i          ,2064.38  ,2024-10-04T08:00:00Z
aY9cTtMK  ,2024-10-04T14:18:46.059662Z ,2024-10-04T14:18:46.059662Z ,pnGtRFkA          ,801.05   ,2024-10-04T08:00:00Z
smhRXhwM  ,2024-10-04T14:19:31.748638Z ,2024-10-04T14:19:31.748638Z ,ekrV3GbM          ,1830.52  ,2024-10-04T08:00:00Z
iwhXt8rs  ,2024-10-04T14:19:59.395022Z ,2024-10-04T14:19:59.395022Z ,XHGYEFBk          ,3346.78  ,2024-10-04T08:00:00Z

AMdcLzWd  ,2024-11-06T14:17:40.439332Z ,2024-11-06T14:17:40.439332Z ,pnGtRFkA          ,777.8    ,2024-11-06T08:00:00Z
zVmtei6S  ,2024-11-06T14:20:29.714014Z ,2024-11-06T14:20:29.714014Z ,efpmBxpS          ,149999   ,2024-11-06T08:00:00Z
G6mbzmvs  ,2024-11-06T14:20:57.201078Z ,2024-11-06T14:20:57.201078Z ,uHAYzo9i          ,50490    ,2024-11-06T08:00:00Z
9w6Bwj5B  ,2024-11-06T14:21:20.060201Z ,2024-11-06T14:21:20.060201Z ,FowrhphW          ,248343   ,2024-11-06T08:00:00Z
d3EFNsfx  ,2024-11-06T14:21:38.466860Z ,2024-11-06T14:21:38.466860Z ,oo3dKjpa          ,9756     ,2024-11-06T08:00:00Z
jRzVWByj  ,2024-11-06T14:22:30.653215Z ,2024-11-06T14:22:30.653215Z ,xa3Y4mos          ,1631227  ,2024-11-06T08:00:00Z
xkuy7nWR  ,2024-11-06T14:23:06.509570Z ,2024-11-06T14:23:06.509570Z ,cHd76DUN          ,-5371    ,2024-11-06T08:00:00Z
6T8gNZoq  ,2024-11-06T14:23:37.178411Z ,2024-11-06T14:23:37.178411Z ,TA23Za6E          ,46057    ,2024-11-06T08:00:00Z
rhNEcbW7  ,2024-11-06T14:24:04.647473Z ,2024-11-06T14:24:04.647473Z ,hWeU9mSG          ,0        ,2024-11-06T08:00:00Z
u5WojLYU  ,2024-11-06T14:24:38.771786Z ,2024-11-06T14:24:38.771786Z ,tQqodHcm          ,308954   ,2024-11-06T08:00:00Z
Nsaa5bjC  ,2024-11-06T14:25:17.913456Z ,2024-11-06T14:25:17.913456Z ,26CACQcy          ,0        ,2024-11-06T08:00:00Z
Q8CGCFWE  ,2024-11-06T14:26:04.186130Z ,2024-11-06T14:26:04.186130Z ,xDSpGPK7          ,341959   ,2024-11-06T08:00:00Z
J4shSY6q  ,2024-11-06T14:26:23.888202Z ,2024-11-06T14:26:23.888202Z ,SZjph9v8          ,20134    ,2024-11-06T08:00:00Z
6rYZo7PK  ,2024-11-06T14:27:17.428417Z ,2024-11-06T14:27:17.428417Z ,FXSs9CVf          ,1136547  ,2024-11-06T08:00:00Z
kd2HJSuJ  ,2024-11-06T14:27:43.013223Z ,2024-11-06T14:27:43.013223Z ,Bs36Lr9f          ,-4503888 ,2024-11-06T08:00:00Z
vcZATsaS  ,2024-11-06T14:28:10.700529Z ,2024-11-06T14:28:10.700529Z ,nNMBYWD3          ,14837    ,2024-11-06T08:00:00Z
oLEmwr8U  ,2024-11-06T14:28:29.218499Z ,2024-11-06T14:28:29.218499Z ,yy7yR7mw          ,47557    ,2024-11-06T08:00:00Z
BfFYZrDn  ,2024-11-06T14:29:35.175699Z ,2024-11-06T14:29:35.175699Z ,BKugABq9          ,20317    ,2024-11-06T08:00:00Z
Z4uCPkGs  ,2024-11-06T14:30:03.399766Z ,2024-11-06T14:30:03.399766Z ,w9KXfqC6          ,5370.37  ,2024-11-06T08:00:00Z
wYfLr4Sg  ,2024-11-06T14:30:30.978494Z ,2024-11-06T14:30:30.978494Z ,W3Lz4U2i          ,2068.41  ,2024-11-06T08:00:00Z
yYGdzY3R  ,2024-11-06T14:31:31.199548Z ,2024-11-06T14:31:31.199548Z ,ekrV3GbM          ,3794.55  ,2024-11-06T08:00:00Z
XY6FEmrm  ,2024-11-06T14:32:43.352650Z ,2024-11-06T14:32:43.352650Z ,XHGYEFBk          ,2741.34  ,2024-11-06T08:00:00Z
JPUuAAmx  ,2024-12-08T04:02:15.593591Z ,2024-12-08T04:02:15.593591Z ,afXaDo5U          ,0        ,2024-11-06T08:00:00Z

LhnrnfSf  ,2024-12-08T03:04:40.797543Z ,2024-12-08T03:04:40.797543Z ,pnGtRFkA          ,0        ,2024-12-08T03:00:00Z
uBNVwEcZ  ,2024-12-08T03:05:50.335021Z ,2024-12-08T03:05:50.335021Z ,efpmBxpS          ,49999    ,2024-12-08T03:00:00Z
aefTPMxt  ,2024-12-08T03:06:15.635961Z ,2024-12-08T03:06:15.635961Z ,uHAYzo9i          ,52114    ,2024-12-08T03:00:00Z
wnD8c8B6  ,2024-12-08T03:06:38.233701Z ,2024-12-08T03:06:38.233701Z ,FowrhphW          ,273736   ,2024-12-08T03:00:00Z
hQTqmKxo  ,2024-12-08T03:06:58.598044Z ,2024-12-08T03:06:58.598044Z ,oo3dKjpa          ,9904     ,2024-12-08T03:00:00Z
GtgrzbkJ  ,2024-12-08T03:08:13.361815Z ,2024-12-08T03:08:13.361815Z ,xa3Y4mos          ,791403   ,2024-12-08T03:00:00Z
yZqjg8tg  ,2024-12-08T03:09:14.702639Z ,2024-12-08T03:09:14.702639Z ,cHd76DUN          ,-10907   ,2024-12-08T03:00:00Z
8ejwZXbC  ,2024-12-08T03:09:53.489042Z ,2024-12-08T03:09:53.489042Z ,TA23Za6E          ,46084    ,2024-12-08T03:00:00Z
ktFWqFwp  ,2024-12-08T03:10:25.151223Z ,2024-12-08T03:10:25.151223Z ,hWeU9mSG          ,0        ,2024-12-08T03:00:00Z
uJ8xKhig  ,2024-12-08T03:10:58.376126Z ,2024-12-08T03:10:58.376126Z ,tQqodHcm          ,321872   ,2024-12-08T03:00:00Z
wBosnG8z  ,2024-12-08T03:13:08.288320Z ,2024-12-08T03:13:08.288320Z ,26CACQcy          ,0        ,2024-12-08T03:00:00Z
rgAXHHDu  ,2024-12-08T03:14:07.875990Z ,2024-12-08T03:14:07.875990Z ,xDSpGPK7          ,322416   ,2024-12-08T03:00:00Z
hui4VZGE  ,2024-12-08T03:14:42.650405Z ,2024-12-08T03:14:42.650405Z ,SZjph9v8          ,40704    ,2024-12-08T03:00:00Z
68gwH39p  ,2024-12-08T03:15:53.660280Z ,2024-12-08T03:15:53.660280Z ,nNMBYWD3          ,0        ,2024-12-08T03:00:00Z
yAVVgrC6  ,2024-12-08T03:16:03.338830Z ,2024-12-08T03:16:03.338830Z ,yy7yR7mw          ,49895    ,2024-12-08T03:00:00Z
wSNkRL9q  ,2024-12-08T03:16:37.920435Z ,2024-12-08T03:16:37.920435Z ,BKugABq9          ,21247    ,2024-12-08T03:00:00Z
3GBrMJeB  ,2024-12-08T03:17:06.315298Z ,2024-12-08T03:17:06.315298Z ,w9KXfqC6          ,5873.1   ,2024-12-08T03:00:00Z
DchkRahN  ,2024-12-08T03:17:30.100050Z ,2024-12-08T03:17:30.100050Z ,W3Lz4U2i          ,2690.11  ,2024-12-08T03:00:00Z
Yqk2EecX  ,2024-12-08T03:17:56.240648Z ,2024-12-08T03:17:56.240648Z ,ekrV3GbM          ,8188.28  ,2024-12-08T03:00:00Z
sBrLXByK  ,2024-12-08T03:18:12.355071Z ,2024-12-08T03:18:12.355071Z ,XHGYEFBk          ,3320.23  ,2024-12-08T03:00:00Z
d5cXhA8s  ,2024-12-08T04:00:11.598360Z ,2024-12-08T04:00:11.598360Z ,afXaDo5U          ,877610   ,2024-12-08T03:00:00Z
9jeL4cFU  ,2024-12-08T08:19:36.028610Z ,2024-12-08T08:19:36.028610Z ,Bs36Lr9f          ,-4491643 ,2024-12-08T03:00:00Z
rmbzPx5R  ,2024-12-08T08:19:59.651873Z ,2024-12-08T08:19:59.651873Z ,FXSs9CVf          ,918097   ,2024-12-08T03:00:00Z

WwuNvDVv  ,2025-01-05T14:34:01.990492Z ,2025-01-05T14:34:01.990492Z ,nNMBYWD3          ,13000    ,2025-01-05T00:00:00Z
fAsz3eau  ,2025-01-05T14:34:15.346356Z ,2025-01-05T14:34:15.346356Z ,yy7yR7mw          ,50158    ,2025-01-05T00:00:00Z
ouCiRyf3  ,2025-01-05T14:34:51.438832Z ,2025-01-05T14:34:51.438832Z ,BKugABq9          ,18855    ,2025-01-05T00:00:00Z
9mmRdUAk  ,2025-01-05T14:35:36.430013Z ,2025-01-05T14:35:36.430013Z ,FXSs9CVf          ,899647   ,2025-01-05T00:00:00Z
s2v8PZBv  ,2025-01-05T14:35:54.534631Z ,2025-01-05T14:35:54.534631Z ,Bs36Lr9f          ,-4479489 ,2025-01-05T00:00:00Z
VUnTd9g9  ,2025-01-05T14:36:27.014700Z ,2025-01-05T14:36:27.014700Z ,SZjph9v8          ,57482    ,2025-01-05T00:00:00Z
3dje3xNG  ,2025-01-05T14:37:25.492906Z ,2025-01-05T14:37:25.492906Z ,xDSpGPK7          ,302828   ,2025-01-05T00:00:00Z
JcZkuptb  ,2025-01-05T14:37:59.337871Z ,2025-01-05T14:37:59.337871Z ,tQqodHcm          ,314772   ,2025-01-05T00:00:00Z
RZcFtHJT  ,2025-01-05T14:38:54.605292Z ,2025-01-05T14:38:54.605292Z ,26CACQcy          ,0        ,2025-01-05T00:00:00Z
kVH5Uh2b  ,2025-01-05T14:42:54.745846Z ,2025-01-05T14:42:54.745846Z ,afXaDo5U          ,710830   ,2025-01-05T00:00:00Z
WDTrcbLq  ,2025-01-05T14:43:58.266659Z ,2025-01-05T14:43:58.266659Z ,xa3Y4mos          ,929801   ,2025-01-05T00:00:00Z
5cLT25Pj  ,2025-01-05T14:44:25.488824Z ,2025-01-05T14:44:25.488824Z ,FowrhphW          ,264164   ,2025-01-05T00:00:00Z
M2jXVrzW  ,2025-01-05T14:44:42.565334Z ,2025-01-05T14:44:42.565334Z ,oo3dKjpa          ,9933     ,2025-01-05T00:00:00Z
yuSzsADA  ,2025-01-05T14:44:57.804185Z ,2025-01-05T14:44:57.804185Z ,uHAYzo9i          ,41346    ,2025-01-05T00:00:00Z
Dzuvtqwv  ,2025-01-05T14:45:29.015254Z ,2025-01-05T14:45:29.015254Z ,cHd76DUN          ,-12612   ,2025-01-05T00:00:00Z
xzriY2ii  ,2025-01-05T14:46:20.480968Z ,2025-01-05T14:46:20.480968Z ,TA23Za6E          ,46112    ,2025-01-05T00:00:00Z
6P4Wn7hF  ,2025-01-05T14:46:29.232441Z ,2025-01-05T14:46:29.232441Z ,hWeU9mSG          ,0        ,2025-01-05T00:00:00Z
Bpfch4wv  ,2025-01-05T14:47:42.086974Z ,2025-01-05T14:47:42.086974Z ,efpmBxpS          ,20001    ,2025-01-05T00:00:00Z
WGJD5cgT  ,2025-01-05T14:49:05.544449Z ,2025-01-05T14:49:05.544449Z ,W3Lz4U2i          ,5210.95  ,2025-01-05T00:00:00Z
rauR2Eak  ,2025-01-05T14:49:21.507008Z ,2025-01-05T14:49:21.507008Z ,w9KXfqC6          ,1755.24  ,2025-01-05T00:00:00Z
pGUGgues  ,2025-01-05T14:49:38.718110Z ,2025-01-05T14:49:38.718110Z ,XHGYEFBk          ,13670.29 ,2025-01-05T00:00:00Z
A8uSiHym  ,2025-01-05T14:50:32.570726Z ,2025-01-05T14:50:32.570726Z ,ekrV3GbM          ,2422.03  ,2025-01-05T00:00:00Z
bKbjzSL5  ,2025-01-05T15:10:22.000452Z ,2025-01-05T15:10:22.000452Z ,WeVFcpFj          ,100022   ,2025-01-05T00:00:00Z

TvEeCrJi  ,2025-02-08T04:01:24.487836Z ,2025-02-08T04:01:24.487836Z ,WeVFcpFj          ,93299    ,2025-02-08T00:00:00Z
NtnbqjMR  ,2025-02-08T04:02:16.464491Z ,2025-02-08T04:02:16.464491Z ,ekrV3GbM          ,3812.77  ,2025-02-08T00:00:00Z
4btmtYUp  ,2025-02-08T04:02:37.417530Z ,2025-02-08T04:02:37.417530Z ,XHGYEFBk          ,13300.03 ,2025-02-08T00:00:00Z
jCooKQyQ  ,2025-02-08T04:03:13.490952Z ,2025-02-08T04:03:13.490952Z ,w9KXfqC6          ,989.26   ,2025-02-08T00:00:00Z
CMJ8bt83  ,2025-02-08T04:03:27.522791Z ,2025-02-08T04:03:27.522791Z ,W3Lz4U2i          ,5228.97  ,2025-02-08T00:00:00Z
UfyshsBN  ,2025-02-08T04:06:03.227451Z ,2025-02-08T04:06:03.227451Z ,cHd76DUN          ,-14014   ,2025-02-08T00:00:00Z
KWFEz8Kd  ,2025-02-08T04:06:29.727002Z ,2025-02-08T04:06:29.727002Z ,uHAYzo9i          ,39539    ,2025-02-08T00:00:00Z
ShWhtbCN  ,2025-02-08T04:06:48.600213Z ,2025-02-08T04:06:48.600213Z ,oo3dKjpa          ,10196    ,2025-02-08T00:00:00Z
WDqLujFK  ,2025-02-08T04:07:10.248994Z ,2025-02-08T04:07:10.248994Z ,FowrhphW          ,289831   ,2025-02-08T00:00:00Z
Q4UiVD3p  ,2025-02-08T04:07:43.266207Z ,2025-02-08T04:07:43.266207Z ,xa3Y4mos          ,814093   ,2025-02-08T00:00:00Z
dUALrbPQ  ,2025-02-08T04:11:28.136519Z ,2025-02-08T04:11:28.136519Z ,afXaDo5U          ,871440   ,2025-02-08T00:00:00Z
XpU2vXX6  ,2025-02-08T04:12:14.295478Z ,2025-02-08T04:12:14.295478Z ,TA23Za6E          ,46640    ,2025-02-08T00:00:00Z
RyyQbCiY  ,2025-02-08T04:13:55.591181Z ,2025-02-08T04:13:55.591181Z ,26CACQcy          ,0        ,2025-02-08T00:00:00Z
q7UfeZ3s  ,2025-02-08T04:14:08.421675Z ,2025-02-08T04:14:08.421675Z ,tQqodHcm          ,318037   ,2025-02-08T00:00:00Z
DSWcfg9a  ,2025-02-08T04:14:40.483163Z ,2025-02-08T04:14:40.483163Z ,xDSpGPK7          ,275026   ,2025-02-08T00:00:00Z
ir7KTNhN  ,2025-02-08T04:15:04.449077Z ,2025-02-08T04:15:04.449077Z ,SZjph9v8          ,84791    ,2025-02-08T00:00:00Z
DahyCkD6  ,2025-02-08T04:15:48.619969Z ,2025-02-08T04:15:48.619969Z ,Bs36Lr9f          ,-4467674 ,2025-02-08T00:00:00Z
fUomvA9x  ,2025-02-08T04:16:02.405162Z ,2025-02-08T04:16:02.405162Z ,FXSs9CVf          ,781197   ,2025-02-08T00:00:00Z
hWcBDumj  ,2025-02-08T04:16:50.679693Z ,2025-02-08T04:16:50.679693Z ,BKugABq9          ,17272    ,2025-02-08T00:00:00Z
f6meK8q4  ,2025-02-08T04:17:11.183211Z ,2025-02-08T04:17:11.183211Z ,yy7yR7mw          ,54199    ,2025-02-08T00:00:00Z
fWQ5sr5f  ,2025-02-08T04:17:21.725992Z ,2025-02-08T04:17:21.725992Z ,nNMBYWD3          ,24143    ,2025-02-08T00:00:00Z
FZ8Ec9Xy  ,2025-02-08T04:20:53.352331Z ,2025-02-08T04:20:53.352331Z ,2QPjQx6A          ,2052     ,2025-02-08T00:00:00Z